id,available,rate,title,author,genre,price,year,description,age
515350,true,,Сердце под прицелом,Елена Тодорова,"Романтическая эротика, Современный любовный роман",149.00,2025,"ФИНАЛ В ИЮЛЕ  ЦЕНА ПОСЛЕ ЗАВЕРШЕНИЯ - 199 руб.&zwj;❤️&zwj;

Курсант Ильина беременна. И это залет. Залет Руслана Чернова.
Свадьба, семья, работа &ndash; таков приказ руководства. В академии МВД дисциплина &ndash; закон, и компромиссы не предусмотрены даже для сыновей офицеров.
Обязан стиснуть волю в кулак и подчиниться.
Жизнь по приказу &ndash; та еще дрянь. Но реально невыносимой она становится, когда под прицелом оказывается сердце.
___________
❤️Однотомник. Вне циклов. Реал.
❤️График прод: 28,29,30.07",18
522502,true,,Расплачивайся. Сейчас.,Екатерина Юдина,"Романтическая эротика, Современный любовный роман",129.00,2025,"- И как ты будешь расплачиваться? На коленях? 

Он - боль и жестокость в одном лице. Желание всех девушек университета и самый отбитый ублюдок. Я - ничтожество. Во всяком случае, так считают другие. Вот только, мне плевать. Главное - не сломаться. 

# Остро
# Жарко
# Больно",18
505192,true,,Поместье для брошенной жены,Белова Екатерина,"Любовное фэнтези, Попаданцы в другие миры",129.00,2025,"МИНИМАЛЬНАЯ ЦЕНА! Спустя&nbsp;восемнадцать лет счастливого брака, муж-дракон выставил меня за порог ради юной красавицы с завидным происхождением. И что гораздо больнее наши дети с легкостью отвернулись от меня, поддержав отца.

У меня нет ни магии, ни родни, мое сердце разбито, а дом разорен счастливой соперницей.

Теперь меня ждет дорога в далекое северное поместье на окраине драконьей страны. Где я, как уверен муж, буду смирно коротать свои дни в ожидании его редких посещений и денежных подачек.",
534803,true,,Бешеный. Сделаю своей,Джулия Ромуш,"Современный любовный роман, Романтическая эротика",0.00,2025,"&mdash; Кто тебе разрешил появляться в моём городе?! - мужчина из прошлого наступает, вгоняет в животный страх.
&mdash; С каких пор я должна у тебя что-то спрашивать? - голос предательски дрожит.
&mdash; Потому что ты сейчас на моей территории, и здесь только я решаю, что с тобой делать.
Опасный преступник по кличке Бешеный был моей первой любовью, а стал ночным кошмаром.
Я сбежала из города и все это время скрывала от него свою тайну.
Но я никак не ожидала, что спустя четыре года мы встретимся вновь, и он захочет превратить мою жизнь в ад.
&mdash; Ты у меня разрешения спрашивать будешь на каждый свой вдох.
Его рука скользит к шее. Накрывает. Сжимает. Он лишает меня кислорода, и это только начало.
И я понимаю, что решение спрятать от него детей было самым правильным.",18
522923,true,,Принадлежать им,Мария Зайцева,"Остросюжетный любовный роман, Криминальный любовный роман",139.00,2025,"Мой жених меня предал. И отдал двум невероятно опасным, жестким мужчинам. И теперь я живу с ними.
Их забава. Их игрушка.
Каждый день они играют со мной.&nbsp;
Мне надо продержаться до окончания этой игры. И остаться живой.&nbsp;

Девочки, это будет очень-очень горячо!
Откровенно!
МЖМ!
Очень горячие мужчины!
Героиня &mdash; не мямля и не нежная овечка!&nbsp;
Нежные фиялки, с осторожностью! Читаем, но потом не плакаем))))&nbsp;
Книга - участница Литмоба &quot;ЖАРА. Темная романтика одержимости&quot;&nbsp;https://litnet.com/shrt/gn21
БУКТРЕЙЛЕР СМОТРЕТЬ ОБЯЗАТЕЛЬНО!
Для этого тапаем в поле появившейся вместо бука картинки на Посмотреть в вк и переходим на вк видео.&nbsp;


&nbsp;",18
535805,true,,Марат. Моя в наказание,"Джулия Ромуш, Ая Кучер","Остросюжетный любовный роман, Романтическая эротика",0.00,2025,"— Ты станешь моей женой вместо сестры, — шипит мужчина, и его дыхание обжигает мою кожу.    

Марат Кафаров был моей первой любовью. И женихом моей сестры. 

А превратился в монстра, который пугает до дрожи. 

Из-за ошибки журналистов все решили, что я его невеста. И Марат не стал это отрицать. Он решил забрать меня. 

И наказать за предательство. 

— Ты станешь моей игрушкой. И я буду играть с тобой до тех пор, пока не сломаю окончательно.",18
538704,true,,Отец-одиночка,Янка Рам,"Современный любовный роман, Романтическая комедия",139.00,2025,"Жизнь убежденного холостяка Платона Полярного полностью меняется, когда он узнает, что в интернате у него растёт маленькая дочь, о которой он не знал...
- Отец-одиночка.
- Босс и подчиненная.
- Противостояние характеров.
- Неунывающая романтичная героиня.
- Герой с тяжелым характером.
- Забавные непослушные дети.
- Перевоспитание героя.",18
530449,true,,Любовь генерального,Asti Brams,"Романтическая эротика, Служебный роман",129.00,2025,"⭐️БЕСТСЕЛЛЕР⭐️&nbsp; &ndash; Что будет, когда он узнает?
&ndash; Он ничего не узнает, &ndash; отсекла я твердым тоном.
&ndash; Надя, не будь такой глупой, &ndash; возразила сестра. &ndash; Ты работаешь в компании его партнера, да и не сложно посчитать срок!
&ndash; Даже если это вдруг произойдет, у меня будет железный аргумент.
Женя нахмурилась.
&ndash; Какой еще аргумент?..
&ndash; Я выйду замуж.
&ndash; Ты&hellip; с ума сошла! &ndash; воскликнула она, расширив глаза. &ndash; Да и в любом случае &ndash; он владелец крупной нефтяной компании, думаешь, его это остановит?
&ndash; Вот именно. Радов &ndash; большой бизнесмен. Я для него &ndash; никто, и наш&hellip; мой малыш тоже!

Дилогия. ХЭ
#скандально #жизненно&nbsp;#эмоции на грани
ГРАФИК ПРОД! ОРИЕНТИРОВОЧНО раз в 2-3 дня! Это значит, что может быть как задержка на день, так и два дня подряд выкладка!

ПРЕДЫСТОРИЯ &gt;&gt;&nbsp;https://litnet.com/shrt/ly2y

&nbsp;",18
526540,true,,Незабудки для бывшего. Настоящая семья,Вероника Лесневская,"Женский роман, Романы о неверности",139.00,2025,"!!! ПРОДА в четверг!&nbsp; 

- Дома нас ждет малыш, так что мы не задержим вас надолго. Нас интересует классическая свадьба, - щебечет счастливая невеста, а я не свожу глаз с ее хмурого мужчины.&nbsp;
- У вас есть ребенок? &ndash; срывается с губ, хотя меня не должна интересовать личная жизнь клиентов.&nbsp;
Но что если в роли чужого жениха - мужчина, которого я любила больше жизни? Семь лет назад он бросил меня беременной, сказал, что уходит в море, и не вернулся. На самом деле, у него все это время была другая женщина.&nbsp;
- Да, сын, - невозмутимо произносит Михаил.&nbsp;
Сердце сжимается, чтобы разлететься на миллион осколков. Он всегда мечтал о сыне, а я родила ему дочек &ndash; двух близняшек, которые прямо сейчас находятся за этой дверью, в моем кабинете. Я слышу их приглушенный смех, и Миша тоже поворачивается на звук.&nbsp;
- Из-звините, - поднимаюсь с места, едва держась на ногах. &ndash; Я не могу&hellip; взяться за ваш заказ. Найдите себе другого свадебного организатора.&nbsp;
Я ждала его семь лет, а он вернулся, чтобы жениться на другой.
И даже не вспомнил меня.

Романтика! ХЭ

✎ Читайте предысторию (семь лет назад) - &quot;Настоящий папа в подарок&quot;&nbsp;https://litnet.com/shrt/gBhG

✎ История Германа (брата Миши) - &quot;Неверный отец. Счастье в конверте&quot;&nbsp;
https://litnet.com/shrt/gdSO

&hearts; Поддержите книгу ЗВЕЗДОЧКОЙ/НРАВИТСЯ и добавляйте В БИБЛИОТЕКУ, чтобы не потерять &hearts;",
534801,true,,Ненавижу... люблю тебя,Валерия Ангелос,"Криминальный любовный роман, Романтическая эротика",129.00,2025,"МИНИМАЛЬНАЯ ЦЕНА! БУДЕТ ПОВЫШЕНИЕ!&mdash; Ненавижу тебя! &mdash; кричу, пытаюсь вырваться. &mdash; Убери от меня свои грязные руки!
&mdash; Ночью ты другое орала, &mdash; ухмыляется это животное, заваливает меня на спину и нависает сверху, хрипло продолжает: &mdash; Просила глубже. Жестче. Умоляла не останавливаться.
&mdash; Что? &mdash; в шоке смотрю на него. &mdash; Нет, я не могла.
&mdash; А ты ничего, &mdash; заявляет он. &mdash; Никогда бы не подумал, что такая заучка как ты даст фору бывалым девкам.
Ужас. Прошлую ночь не помню, а утром просыпаюсь в одной постели с этим подонком.
Красивый. Богатый. Опасный. Многие девушки мечтают, чтобы он хоть раз обратил на них внимание. А я хочу только сбежать.
Он жестокий, дикий, абсолютно неуправляемый. И главное &mdash; злейший враг моей семьи.
Неужели этот ублюдок и правда стал моим первым мужчиной?
Хочу стереть все из памяти, как страшный сон.
Но&hellip; вдруг оказывается, что теперь я должна стать его женой.

 ПЕРВАЯ КНИГА О ГЕРОЯХ -&nbsp;https://litnet.com/shrt/9fgi",18
